Date,Include?,Country,City,Utilization_Tests,Adobe_Engaged Visits,Adobe_Unique Visitors,SearchTrend_Value,Email_Opens,Sales_Calls,Utilization_InstCount,Utilization_MemberCount
1/1/2019,1,Denmark,Herlev,12762,2,4,824098,0,0,2,1
1/1/2019,1,Estonia,TALLINN,25997,2,5,1208718,0,0,9,5
1/1/2019,1,Finland,HELSINKI,40983,2,6,5092191,0,1,10,5
1/1/2019,1,Finland,TURKU,8654,0,1,1075271,0,0,3,2
1/1/2019,1,Finland,TAMPERE,11570,1,2,1437588,0,0,3,1
1/1/2019,1,Finland,Oulu,8492,0,1,1055142,0,0,2,1
1/1/2019,1,France,LYON,83555,63,237,23998257,0,181,10,3
1/1/2019,1,France,ST OUEN L'AUMONE,97557,73,277,28019843,0,212,9,1
1/1/2019,1,France,LILLE CEDEX,7457,6,21,2141763,0,16,3,2
1/1/2019,1,France,COQUELLES,5875,4,17,1687389,0,13,2,1
1/1/2019,1,France,MONTEVRAIN,7785,6,22,2235969,0,17,2,1
1/1/2019,1,France,LIBOURNE,8111,6,23,2329602,0,18,2,1
1/1/2019,1,France,TINTENIAC,7606,6,21,2184558,0,17,2,1
1/1/2019,1,France,MARTIGUES,11437,9,32,3284879,0,25,2,1
1/1/2019,1,France,MORTAGNE SUR SEVRE,5989,5,17,1720131,0,13,4,2
1/1/2019,1,France,ST MARTIN D HERES,5129,4,15,1473126,0,11,2,1
1/1/2019,1,France,BOULOGNE,4040,3,12,1160349,0,9,1,1
1/1/2019,1,France,SAINT DENIS,20093,15,57,5771013,0,44,1,1
1/1/2019,1,Germany,Kiel,8178,3,12,2236901,18,7,4,3
1/1/2019,1,Germany,Mönchengladbach,26058,10,39,7127557,59,23,3,2
1/1/2019,1,Germany,Ludwigsburg,4640,2,7,1269164,10,4,3,2
1/1/2019,1,Germany,Hennigsdorf,75557,30,111,20666852,170,67,19,11
1/1/2019,1,Germany,Stuttgart,8873,3,13,2427002,20,8,4,2
1/1/2019,1,Germany,Hamburg,35203,14,52,9628958,79,31,10,5
1/1/2019,1,Germany,Schüttorf,10377,4,15,2838386,23,9,3,1
1/1/2019,1,Germany,Memmingen,21262,8,31,5815723,48,19,5,2
1/1/2019,1,Germany,München,4846,2,7,1325510,11,4,4,4
1/1/2019,1,Germany,Aachen,6022,2,9,1647177,14,5,1,1
1/1/2019,1,Germany,Karlsruhe,6195,2,9,1694497,14,5,2,2
1/1/2019,1,Germany,Dresden,6349,3,9,1736621,14,6,4,2
1/1/2019,1,Germany,Frankfurt,4883,2,7,1335631,11,4,1,1
1/1/2019,1,Germany,Bamberg,7046,3,11,1927269,16,6,2,2
1/1/2019,1,Germany,Augsburg,28747,11,43,7863070,65,25,2,1
1/1/2019,1,Germany,Geesthacht,24586,10,36,6724926,55,22,3,1
1/1/2019,1,Germany,Baden-Baden,3220,1,5,880756,7,3,1,1
1/1/2019,1,Germany,Düsseldorf,21429,8,31,5861402,48,19,4,2
1/1/2019,1,Germany,Villingen-Schwenningen,4979,2,7,1361889,11,4,2,1
1/1/2019,1,Germany,Berlin,3587,1,5,981140,8,3,3,2
1/1/2019,1,Germany,Gießen,10574,4,16,2892271,24,9,2,1
1/1/2019,1,Germany,Erfurt,7081,3,11,1936842,16,6,3,2
1/1/2019,1,Germany,Potsdam,5243,2,8,1434100,12,5,3,2
1/1/2019,1,Germany,Leverkusen,10399,4,15,2844403,23,9,3,1
1/1/2019,1,Germany,Kaiserslautern,3745,1,5,1024357,8,3,2,1
1/1/2019,1,Germany,Koblenz,3600,1,5,984696,8,3,1,1
1/1/2019,1,Germany,Leipzig,8885,4,13,2430284,20,8,2,1
1/1/2019,1,United Kingdom,Manchester,16076,95,255,28184742,585,31,2,2
1/1/2019,1,United Kingdom,Kettering,31467,185,498,55168528,1145,61,5,1
1/1/2019,1,United Kingdom,London,48842,288,772,85630701,1777,95,6,1
1/1/2019,1,United Kingdom,Coventry,12156,71,192,21312125,442,24,2,1
1/1/2019,1,United Kingdom,Scunthorpe,777,4,12,1362251,28,2,2,1
1/1/2019,1,Italy,PORDENONE,4327,3,12,1068574,27,8,1,1
1/1/2019,1,Italy,BRESCIA,8409,5,24,2076643,53,15,1,1
1/1/2019,1,Italy,CUNEO,6183,4,18,1526922,39,11,3,1
1/1/2019,1,Italy,FIRENZE,5172,3,15,1277250,32,9,4,2
1/1/2019,1,Italy,MESSINA,5512,3,15,1361215,34,10,4,2
1/1/2019,1,Italy,BUDRIO,51491,31,144,12715951,322,90,17,11
1/1/2019,1,Italy,TORINO,7876,5,22,1945016,49,14,4,2
1/1/2019,1,Italy,BAGGIOVARA MO,11049,7,31,2728604,69,19,1,1
1/1/2019,1,Italy,PAVIA,3885,2,11,959420,24,7,2,2
1/1/2019,1,Italy,AVOLA SR,5641,3,16,1393072,35,10,2,2
1/1/2019,1,Italy,FERRARA,11319,7,31,2795282,71,20,2,1
1/1/2019,1,Italy,CITTADELLA PD,4062,2,11,1003131,25,7,2,2
1/1/2019,1,Italy,Milano,10412,6,29,2571294,65,18,4,3
1/1/2019,1,Italy,TRIESTE,5273,3,15,1302193,33,9,3,2
1/1/2019,1,Italy,TREVISO,2269,1,6,560341,14,4,1,1
1/1/2019,1,Italy,UDINE,2117,1,6,522803,13,4,3,2
1/1/2019,1,Italy,ROMA,6985,4,20,1724979,44,12,6,6
1/1/2019,1,Italy,CATANIA,3030,2,9,748273,19,5,3,2
1/1/2019,1,Italy,LECCE,8101,5,23,2000581,51,14,2,2
1/1/2019,1,Italy,CUSANO MILANINO MI,4531,3,13,1118952,28,8,2,1
1/1/2019,1,Italy,PRATO,2023,1,6,499590,13,4,2,1
1/1/2019,1,Italy,CHIETI,3636,2,10,897928,23,6,1,1
1/1/2019,1,Italy,CATANZARO,3994,2,11,986338,25,7,3,2
1/1/2019,1,Italy,VIMERCATE,13259,8,38,3274374,83,23,4,3
1/1/2019,1,Italy,LIMENA PD,6163,4,18,1521983,39,11,3,2
1/1/2019,1,Italy,CELANO AQ,5007,3,14,1236503,31,9,2,1
1/1/2019,1,Italy,Monselice SCHIAVONIA PD,5263,3,15,1299723,33,9,1,1
1/1/2019,1,Italy,Parma,5855,4,16,1445921,37,10,2,2
1/1/2019,1,Italy,Loc. Zelarino - Mestre VE,4775,3,14,1179209,30,8,2,1
1/1/2019,1,Italy,GUIDONIA,4080,2,11,1007576,26,7,1,1
1/1/2019,1,Italy,ALESSANDRIA,3431,2,10,847302,21,6,2,2
1/1/2019,1,Italy,ATRI TE,2796,2,8,690486,17,5,2,1
1/1/2019,1,Italy,VICENZA,5838,4,16,1441722,37,10,2,1
1/1/2019,1,Norway,Oslo,84172,5,6,5075734,0,9,7,2
1/1/2019,1,Norway,MOLDE,5737,0,0,345952,0,1,2,1
1/1/2019,1,Norway,DRAMMEN,13384,1,1,807081,0,1,3,1
1/1/2019,1,Portugal,ALGÉS,5958,3,10,5138719,0,62,1,1
1/1/2019,1,Spain,CORNELLA (BARCELONA),29969,17,49,12587855,890,56,9,4
1/1/2019,1,Spain,BILBAO (VIZCAYA),30234,17,50,12699163,898,56,4,2
1/1/2019,1,Spain,Palma De Mallorca (baleares),8174,5,13,3433319,243,15,3,2
1/1/2019,1,Spain,Madrid,29183,17,48,12257712,867,54,7,4
1/1/2019,1,Spain,Valencia,4568,3,7,1918693,136,8,3,3
1/1/2019,1,Spain,San Sebastian (guipuzcoa),8939,5,15,3754641,266,17,3,1
1/1/2019,1,Spain,VITORIA (ALAVA),6377,4,10,2678526,189,12,2,1
1/1/2019,1,Sweden,UPPSALA,5368,4,7,799990,0,0,2,1
1/1/2019,1,Sweden,LUND,12462,8,15,1857205,0,1,1,1
1/1/2019,1,Sweden,TÄBY,6580,4,8,980614,0,1,2,1
1/1/2019,1,Sweden,HALMSTAD,4244,3,5,632481,0,0,2,2
1/1/2019,1,Sweden,UMEÅ,4093,3,5,609977,0,0,2,1
1/1/2019,1,Sweden,SUNDSVALL,21828,15,25,3253015,0,2,6,2
1/1/2019,1,Sweden,VÄSTERÅS,7652,5,9,1140373,0,1,2,1
1/1/2019,1,Sweden,LINKÖPING,5017,3,5,747681,0,0,2,1
1/1/2019,1,Sweden,JÖNKÖPING,4525,3,5,674358,0,0,1,1
1/1/2019,1,Switzerland,LUZERN,7802,5,14,1603346,0,4,3,2
1/1/2019,1,Switzerland,BERN,3143,2,5,645901,0,2,3,3
1/1/2019,1,Switzerland,Zürich,12995,8,23,2670531,0,6,5,4
1/1/2019,1,Switzerland,Lausanne,10738,7,19,2206707,0,5,4,1
1/1/2019,1,Switzerland,Dübendorf,7683,5,14,1578891,0,4,2,2
1/1/2019,1,Switzerland,Niederwangen,3058,2,5,628433,0,1,2,1
1/1/2019,1,Switzerland,Goldach,10866,7,19,2233012,0,5,4,1
1/1/2019,1,Switzerland,Pratteln,6965,4,12,1431339,0,3,2,1
1/1/2019,1,Netherlands,ROTTERDAM,9884,2,10,7813555,0,1,2,1
1/1/2019,1,Netherlands,UTRECHT,10269,2,10,8117908,0,1,4,3
1/1/2019,1,Netherlands,ZWOLLE,5929,1,6,4687026,0,0,3,2
1/1/2019,1,Netherlands,NIEUWEGEIN,8988,1,8,7105244,0,1,4,1
2/1/2019,1,Austria,Wien,62431,16,117,3076050,14,12,15,6
2/1/2019,1,Austria,ST. PÖLTEN,700,0,1,34490,0,0,1,1
2/1/2019,1,Austria,SALZBURG,6872,2,13,338592,2,1,2,1
2/1/2019,1,Austria,Linz,11322,3,22,557849,3,2,4,2
2/1/2019,1,Austria,Stolzalpe,12240,3,23,603079,3,2,1,1
2/1/2019,1,Austria,FELDKIRCH,2491,1,5,122735,1,0,1,1
2/1/2019,1,Austria,St. Pölten,2105,1,3,103716,0,0,2,1
2/1/2019,1,Belgium,ANTWERPEN,18991,2,12,1476507,4,10,4,2
2/1/2019,1,Belgium,MERELBEKE,18495,2,11,1437944,4,10,4,2
2/1/2019,1,Belgium,HERENTALS,17231,2,11,1339671,3,9,2,1
2/1/2019,1,Belgium,STEENOKKERZEEL,42349,5,26,3292538,8,22,13,11
2/1/2019,1,Belgium,SINT-TRUIDEN,22052,3,14,1714492,4,12,6,3
2/1/2019,1,Belgium,BRUXELLES,3944,1,3,306637,1,2,1,1
2/1/2019,1,Belgium,FERNELMONT,9493,1,6,738059,2,5,2,1
2/1/2019,1,Belgium,OTTIGNIES,3912,1,3,304149,1,2,2,1
2/1/2019,1,Belgium,HEPPIGNIES,18099,2,11,1407156,4,9,3,2
2/1/2019,1,Belgium,LIEGE,10869,1,6,845040,2,6,4,3
2/1/2019,1,Belgium,HORNU,5525,1,4,429556,1,3,2,2
2/1/2019,1,Belgium,LOUVAIN-LA-NEUVE,13970,2,9,1086135,3,7,2,1
2/1/2019,1,Belgium,AUDERGHEM,4469,1,3,347455,1,2,2,1
2/1/2019,1,Czechia,Brno,2077,0,1,1892688,0,0,3,1
2/1/2019,1,Czechia,Praha,15224,3,8,13873030,0,0,8,6
2/1/2019,1,Denmark,Allerød,9552,2,4,845479,0,0,6,3
2/1/2019,1,Denmark,SLAGELSE,2974,0,1,263238,0,0,2,1
2/1/2019,1,Denmark,KØBENHAVN Ø,4556,1,2,403266,0,0,3,2
2/1/2019,1,Denmark,HOLSTEBRO,3208,1,1,283951,0,0,2,1
2/1/2019,1,Denmark,SILKEBORG,8553,1,3,757054,0,0,3,1
2/1/2019,1,Denmark,ODENSE C,5083,1,2,449913,0,0,2,1
2/1/2019,1,Denmark,HVIDOVRE,7146,1,3,632516,0,0,3,1
2/1/2019,1,Denmark,Sønderborg,4043,1,1,357859,0,0,3,1
2/1/2019,1,Denmark,AALBORG,3537,1,1,313071,0,0,2,1
2/1/2019,1,Denmark,NYKØBING,3804,1,1,336704,0,0,2,1
2/1/2019,1,Denmark,AARHUS N,5470,1,3,484168,0,0,3,2
2/1/2019,1,Denmark,Kolding,2868,0,1,253856,0,0,1,1
2/1/2019,1,Denmark,Århus N,4467,1,2,395389,0,0,2,1
2/1/2019,1,Denmark,Herlev,10164,2,4,899649,0,0,2,1
2/1/2019,1,Estonia,TALLINN,22909,2,6,1998602,0,0,9,5
2/1/2019,1,Finland,HELSINKI,35988,1,11,6622839,1,2,10,5
2/1/2019,1,Finland,TURKU,8118,0,2,1493948,0,0,3,2
2/1/2019,1,Finland,TAMPERE,10670,0,3,1963590,0,1,3,1
2/1/2019,1,Finland,Oulu,7981,0,2,1468736,0,0,2,1
2/1/2019,1,France,LYON,76811,52,326,29014249,2725,211,9,3
2/1/2019,1,France,ST OUEN L'AUMONE,97176,65,412,36706835,3448,267,8,1
2/1/2019,1,France,LILLE CEDEX,6207,4,26,2344605,220,17,3,2
2/1/2019,1,France,COQUELLES,6083,4,26,2297766,216,17,2,1
2/1/2019,1,France,MONTEVRAIN,8598,6,36,3247771,305,24,2,1
2/1/2019,1,France,LIBOURNE,7657,5,33,2892321,272,21,2,1
2/1/2019,1,France,TINTENIAC,7319,5,31,2764647,260,20,2,1
2/1/2019,1,France,MARTIGUES,12365,8,53,4670701,438,34,2,1
2/1/2019,1,France,MORTAGNE SUR SEVRE,5535,4,23,2090767,197,15,6,2
2/1/2019,1,France,ST MARTIN D HERES,4968,3,21,1876590,177,14,2,1
2/1/2019,1,France,BOULOGNE,3823,3,16,1444083,135,11,1,1
2/1/2019,1,France,SAINT DENIS,20269,14,86,7656323,719,56,1,1
2/1/2019,1,France,NICE,784,1,3,296145,27,2,1,1
2/1/2019,1,Germany,Bremen,2541,1,6,1067648,7,3,2,1
2/1/2019,1,Germany,Kiel,6769,3,16,2844121,20,9,4,3
2/1/2019,1,Germany,Mönchengladbach,25225,10,57,10598752,72,33,5,2
2/1/2019,1,Germany,Ludwigsburg,4956,2,11,2082355,15,7,3,2
2/1/2019,1,Germany,Hennigsdorf,76660,31,176,32210121,220,102,19,11
2/1/2019,1,Germany,Stuttgart,9318,4,21,3915131,27,12,4,2
2/1/2019,1,Germany,Hamburg,33065,13,75,13892873,95,44,10,5
2/1/2019,1,Germany,Schüttorf,9295,4,21,3905467,27,12,3,1
2/1/2019,1,Germany,Memmingen,21326,9,49,8960514,61,28,5,2
2/1/2019,1,Germany,München,5229,2,12,2197061,15,7,4,4
2/1/2019,1,Germany,Aachen,6267,3,14,2633196,17,8,1,1
2/1/2019,1,Germany,Karlsruhe,6324,3,14,2657146,19,8,2,2
2/1/2019,1,Germany,Dresden,6043,2,14,2539079,17,8,4,2
2/1/2019,1,Germany,Frankfurt,6204,2,14,2606726,17,8,1,1
2/1/2019,1,Germany,Bamberg,6612,3,15,2778154,19,9,2,2
2/1/2019,1,Germany,Augsburg,32787,13,75,13776066,93,44,4,1
2/1/2019,1,Germany,Geesthacht,23376,9,54,9821860,67,31,3,1
2/1/2019,1,Germany,Baden-Baden,3409,1,8,1432355,9,5,1,1
2/1/2019,1,Germany,Düsseldorf,20076,8,46,8435304,57,27,4,2
2/1/2019,1,Germany,Villingen-Schwenningen,3619,1,8,1520590,11,5,2,1
2/1/2019,1,Germany,Berlin,7419,3,17,3117230,21,10,5,4
2/1/2019,1,Germany,Gießen,11213,4,25,4711350,32,15,1,1
2/1/2019,1,Germany,Erfurt,5817,2,13,2444120,16,8,3,2
2/1/2019,1,Germany,Leverkusen,10055,4,23,4224795,29,13,3,1
2/1/2019,1,Germany,Kaiserslautern,3816,2,8,1603363,11,5,2,1
2/1/2019,1,Germany,Potsdam,5924,2,13,2489078,17,8,3,1
2/1/2019,1,Germany,Koblenz,4655,2,11,1955885,13,6,1,1
2/1/2019,1,Germany,Leipzig,7160,3,17,3008407,20,10,2,1
2/1/2019,1,United Kingdom,Manchester,14605,66,232,25024697,1340,33,2,2
2/1/2019,1,United Kingdom,Kettering,30540,139,484,52328261,2802,68,7,1
2/1/2019,1,United Kingdom,London,48026,220,762,82289360,4407,107,10,1
2/1/2019,1,United Kingdom,Coventry,11203,51,178,19195596,1028,25,2,1
2/1/2019,1,United Kingdom,Scunthorpe,8528,39,134,14612161,784,19,2,1
2/1/2019,1,Italy,PORDENONE,4061,2,11,1205285,30,10,1,1
2/1/2019,1,Italy,BRESCIA,5754,3,15,1707759,43,15,1,1
2/1/2019,1,Italy,CUNEO,5624,3,15,1669176,42,14,3,1
2/1/2019,1,Italy,FIRENZE,4648,2,12,1379504,36,12,4,2
2/1/2019,1,Italy,MESSINA,5737,3,15,1702714,43,15,4,2
2/1/2019,1,Italy,BUDRIO,50387,26,133,14954619,381,128,19,12
2/1/2019,1,Italy,TORINO,7166,4,19,2126834,54,18,4,2
2/1/2019,1,Italy,BAGGIOVARA MO,12059,6,32,3579053,91,31,1,1
2/1/2019,1,Italy,PAVIA,3942,2,10,1169967,30,10,3,2
2/1/2019,1,Italy,AVOLA SR,6022,3,16,1787301,45,15,2,2
2/1/2019,1,Italy,FERRARA,10393,5,27,3084592,79,26,2,1
2/1/2019,1,Italy,Milano,10152,5,27,3013065,77,26,4,3
2/1/2019,1,Italy,TRIESTE,5259,3,14,1560846,40,13,3,2
2/1/2019,1,Italy,TREVISO,2029,1,5,602197,15,5,1,1
2/1/2019,1,Italy,UDINE,6565,3,17,1948460,50,17,3,2
2/1/2019,1,Italy,ROMA,8717,5,23,2587164,66,22,6,6
2/1/2019,1,Italy,CATANIA,4644,2,12,1378317,36,12,4,3
2/1/2019,1,Italy,LECCE,5937,3,16,1762073,45,15,2,2
2/1/2019,1,Italy,CUSANO MILANINO MI,4446,2,11,1319551,33,11,2,1
2/1/2019,1,Italy,PRATO,1954,1,5,579938,15,5,2,1
2/1/2019,1,Italy,CHIETI,4525,2,12,1342998,35,11,1,1
2/1/2019,1,Italy,CATANZARO,4681,2,12,1389298,36,12,3,2
2/1/2019,1,Italy,VIMERCATE,13527,7,36,4014748,102,34,5,3
2/1/2019,1,Italy,LIMENA PD,5843,3,15,1734174,44,15,3,2
2/1/2019,1,Italy,CELANO AQ,5013,3,14,1487834,38,13,2,1
2/1/2019,1,Italy,Monselice SCHIAVONIA PD,4561,2,12,1353683,35,12,1,1
2/1/2019,1,Italy,Parma,5358,3,14,1590229,41,14,2,2
2/1/2019,1,Italy,Loc. Zelarino - Mestre VE,2613,1,7,775526,19,7,2,1
2/1/2019,1,Italy,GUIDONIA,4508,2,12,1337953,34,11,1,1
2/1/2019,1,Italy,ALESSANDRIA,3313,2,9,983282,25,8,2,2
2/1/2019,1,Italy,CITTADELLA PD,963,1,2,285814,8,2,1,1
2/1/2019,1,Italy,ATRI TE,3359,2,9,996935,26,9,2,1
2/1/2019,1,Italy,VICENZA,6801,4,18,2018504,52,17,2,1
2/1/2019,1,Norway,Oslo,76548,1,7,5536386,0,4,9,2
2/1/2019,1,Norway,MOLDE,4986,0,0,360616,0,0,2,1
2/1/2019,1,Norway,DRAMMEN,11548,0,1,835217,0,1,3,1
2/1/2019,1,Portugal,ALGÉS,5967,7,13,10411614,0,87,1,1
2/1/2019,1,Spain,CORNELLA (BARCELONA),30439,11,46,16502101,874,127,9,4
2/1/2019,1,Spain,BILBAO (VIZCAYA),27760,10,43,15049717,798,116,4,2
2/1/2019,1,Spain,Palma De Mallorca (baleares),6363,2,9,3449616,183,27,3,2
2/1/2019,1,Spain,Madrid,34298,13,52,18594207,986,143,7,4
2/1/2019,1,Spain,Valencia,4913,2,8,2663518,141,21,3,3
2/1/2019,1,Spain,San Sebastian (guipuzcoa),8436,3,13,4573466,242,35,3,1
2/1/2019,1,Spain,VITORIA (ALAVA),5935,2,9,3217582,171,25,2,1
2/1/2019,1,Sweden,UPPSALA,5161,2,4,952551,0,0,2,1
2/1/2019,1,Sweden,LUND,12815,6,12,2365227,0,1,1,1
2/1/2019,1,Sweden,TÄBY,7095,3,6,1309503,0,1,2,1
2/1/2019,1,Sweden,HALMSTAD,4444,2,4,820216,0,0,2,2
2/1/2019,1,Sweden,UMEÅ,4316,2,4,796591,0,0,2,1
2/1/2019,1,Sweden,SUNDSVALL,21075,10,19,3889751,0,2,6,2
2/1/2019,1,Sweden,VÄSTERÅS,7600,4,7,1402710,0,1,2,1
2/1/2019,1,Sweden,LINKÖPING,4253,2,4,784964,0,0,2,1
2/1/2019,1,Sweden,JÖNKÖPING,5166,2,4,953473,0,0,2,1
2/1/2019,1,Switzerland,LUZERN,7875,5,16,1843371,2,4,3,2
2/1/2019,1,Switzerland,BERN,4706,3,10,1101575,1,2,4,3
2/1/2019,1,Switzerland,Zürich,13160,8,27,3080478,4,6,5,4
2/1/2019,1,Switzerland,Lausanne,10731,6,22,2511901,3,5,4,1
2/1/2019,1,Switzerland,Dübendorf,7766,5,15,1817857,2,4,2,2
2/1/2019,1,Switzerland,Niederwangen,3053,2,6,714643,1,1,2,1
2/1/2019,1,Switzerland,Goldach,11085,7,22,2594765,3,5,4,1
2/1/2019,1,Switzerland,Pratteln,6742,4,14,1578160,2,3,2,1
2/1/2019,1,Netherlands,ROTTERDAM,8957,2,13,8261528,0,1,2,1
2/1/2019,1,Netherlands,UTRECHT,10252,2,15,9455977,0,1,4,3
2/1/2019,1,Netherlands,ZWOLLE,5780,1,8,5331208,0,1,3,2
2/1/2019,1,Netherlands,NIEUWEGEIN,8200,2,12,7563306,0,1,4,1
3/1/2019,1,Austria,Wien,76150,31,132,4417829,0,6,15,6
3/1/2019,1,Austria,ST. PÖLTEN,1025,0,1,59465,0,0,1,1
3/1/2019,1,Austria,SALZBURG,10472,4,18,607531,0,1,2,1
3/1/2019,1,Austria,Linz,14095,6,24,817719,0,1,4,2
3/1/2019,1,Austria,Stolzalpe,15741,6,28,913211,0,1,1,1
3/1/2019,1,Austria,FELDKIRCH,3379,1,6,196032,0,0,1,1
3/1/2019,1,Austria,St. Pölten,6424,3,11,372687,0,0,2,1
3/1/2019,1,Belgium,ANTWERPEN,22696,4,9,1764820,0,7,4,2
3/1/2019,1,Belgium,MERELBEKE,19199,3,8,1492897,0,6,4,2
3/1/2019,1,Belgium,HERENTALS,23463,4,9,1824461,0,8,2,1
3/1/2019,1,Belgium,STEENOKKERZEEL,45355,7,18,3526763,0,15,12,10
3/1/2019,1,Belgium,SINT-TRUIDEN,27845,5,11,2165202,0,9,6,3
3/1/2019,1,Belgium,BRUXELLES,4055,1,2,315313,0,1,1,1
3/1/2019,1,Belgium,FERNELMONT,11762,2,5,914602,0,4,2,1
3/1/2019,1,Belgium,OTTIGNIES,3954,1,2,307459,0,1,2,1
3/1/2019,1,Belgium,HEPPIGNIES,19920,3,8,1548961,0,6,3,2
3/1/2019,1,Belgium,LIEGE,11786,2,5,916469,0,4,4,3
3/1/2019,1,Belgium,HORNU,6506,1,3,505901,0,2,2,2
3/1/2019,1,Belgium,LOUVAIN-LA-NEUVE,14181,2,6,1102702,0,5,2,1
3/1/2019,1,Belgium,AUDERGHEM,4823,1,2,375032,0,2,2,1
3/1/2019,1,Czechia,Brno,2091,0,1,2442543,0,0,3,1
3/1/2019,1,Czechia,Praha,16890,4,10,19729576,0,0,8,6
3/1/2019,1,Denmark,Allerød,11356,1,3,943298,0,0,6,3
3/1/2019,1,Denmark,SLAGELSE,3676,0,1,305351,0,0,2,1
3/1/2019,1,Denmark,KØBENHAVN Ø,5159,0,1,428538,0,0,3,2
3/1/2019,1,Denmark,HOLSTEBRO,3931,0,1,326533,0,0,2,1
3/1/2019,1,Denmark,SILKEBORG,8863,1,2,736215,0,0,3,1
3/1/2019,1,Denmark,ODENSE C,7059,1,2,586363,0,0,2,1
3/1/2019,1,Denmark,HVIDOVRE,9310,1,2,773345,0,0,3,1
3/1/2019,1,Denmark,Sønderborg,4839,0,1,401957,0,0,3,1
3/1/2019,1,Denmark,AALBORG,4494,0,1,373299,0,0,2,1
3/1/2019,1,Denmark,NYKØBING,4722,0,1,392238,0,0,2,1
3/1/2019,1,Denmark,AARHUS N,7179,1,2,596331,0,0,3,2
3/1/2019,1,Denmark,Kolding,4416,0,1,366820,0,0,1,1
3/1/2019,1,Denmark,Århus N,6120,1,1,508364,0,0,2,1
3/1/2019,1,Denmark,Herlev,11751,1,3,976109,0,0,3,2
3/1/2019,1,Estonia,TALLINN,26665,1,4,1726178,0,0,9,5
3/1/2019,1,Finland,HELSINKI,40631,0,12,8396431,242,2,10,5
3/1/2019,1,Finland,TURKU,8239,0,3,1702596,49,0,3,2
3/1/2019,1,Finland,TAMPERE,11164,0,3,2307050,67,0,3,1
3/1/2019,1,Finland,Oulu,8186,0,3,1691644,49,0,2,1
3/1/2019,1,France,LYON,89633,64,247,41874378,5068,232,9,3
3/1/2019,1,France,ST OUEN L'AUMONE,113823,82,314,53175363,6435,294,7,1
3/1/2019,1,France,LILLE CEDEX,7873,6,21,3678076,445,20,3,2
3/1/2019,1,France,COQUELLES,6936,5,19,3240332,392,18,2,1
3/1/2019,1,France,MONTEVRAIN,8708,6,24,4068168,492,23,2,1
3/1/2019,1,France,LIBOURNE,8216,6,23,3838317,464,21,2,1
